AnnualRainfall,MonsoonRainfall,CloudVisibility,Humidity,Temperature,RiverWaterLevel,SoilSaturation,WindSpeed,Elevation,DrainageQuality,FloodOccurred
2371.4,1865.6,6.21,98.7,26.1,2.64,,11.6,269.5,1,1
2176.0,1414.5,6.09,50.1,25.6,5.7,44.6,23.0,261.5,1,0
2195.5,1637.5,0.2,99.8,25.0,5.62,79.4,24.6,186.1,3,1
1345.3,829.4,7.86,81.4,27.9,3.63,41.5,12.7,231.9,5,0
2501.4,1995.1,6.34,76.3,16.1,5.01,48.0,13.0,324.2,3,1
1099.1,611.6,7.07,55.2,22.5,8.05,73.9,9.4,201.4,5,0
2093.4,1467.2,4.22,78.6,24.9,3.05,34.4,15.7,77.0,1,1
2895.2,2069.7,5.04,59.1,34.0,1.1,56.4,16.6,208.3,2,1
1304.7,942.0,4.97,,23.9,5.91,18.5,21.5,146.3,4,0
1516.9,879.9,8.55,55.4,28.9,4.78,33.2,21.4,0.0,2,0
1849.8,1451.4,5.05,68.3,29.1,3.58,62.6,0.0,196.2,1,0
1548.3,921.7,11.21,61.7,34.5,6.3,35.2,13.8,161.7,1,0
1024.7,723.1,7.08,55.2,34.3,6.68,44.1,26.1,265.6,2,0
1834.3,1111.0,2.81,81.1,27.7,0.58,64.9,11.5,75.0,2,1
1268.8,795.3,5.68,78.0,25.6,3.69,43.4,24.1,0.0,1,0
2036.8,1398.5,4.37,88.1,24.7,9.64,71.5,12.5,166.9,2,1
1340.3,876.9,0.51,43.3,26.8,6.17,59.3,16.4,188.0,4,0
2575.0,1519.4,10.0,86.0,25.8,6.35,63.7,5.9,159.4,4,0
1408.4,834.8,7.76,100.0,30.8,7.35,79.8,6.2,152.1,3,0
1639.0,1072.8,7.33,63.2,30.1,5.03,61.4,20.8,43.1,4,0
2206.8,1631.5,6.41,98.4,31.0,6.59,85.8,22.1,136.1,1,1
1184.6,917.4,2.54,66.1,34.3,6.44,73.2,15.2,115.2,1,0
1913.7,1092.8,4.79,49.4,37.3,6.08,44.5,5.2,257.3,3,0
2453.6,1590.6,8.1,65.4,28.6,4.36,80.9,15.4,187.9,5,0
996.3,572.9,3.37,85.7,33.5,5.34,60.3,25.1,122.2,3,0
1892.3,1048.6,0.2,57.4,26.2,3.82,47.1,28.9,322.4,5,0
1929.9,1380.7,5.43,61.0,33.9,5.03,60.6,12.5,123.1,5,1
2190.9,1535.0,5.65,78.9,33.3,2.66,77.2,1.7,205.8,2,1
1181.5,698.0,6.34,70.0,33.0,3.42,64.1,21.7,133.3,4,0
1139.8,693.5,7.82,78.8,28.5,4.44,91.4,12.8,313.1,5,0
2061.0,1145.7,7.59,73.6,24.7,3.11,76.7,22.5,158.7,2,1
1948.5,1478.4,6.65,77.2,21.0,3.99,65.5,17.2,161.6,3,1
1925.2,1528.0,8.99,63.5,27.8,4.67,34.5,7.9,136.0,3,0
1973.2,1152.1,2.2,73.5,35.7,5.8,51.4,15.5,169.7,5,0
1460.0,887.5,7.26,56.1,26.5,6.9,56.4,25.5,270.0,2,0
1916.1,1469.9,7.57,89.3,31.9,4.07,68.9,13.8,234.6,1,1
1946.5,1521.4,2.9,60.5,32.2,7.67,67.7,6.7,152.8,4,1
1442.8,944.9,2.24,86.9,26.6,6.88,58.4,2.3,320.1,5,0
2732.9,1537.7,4.14,66.5,34.6,6.01,57.4,8.8,237.3,1,1
2036.9,1140.4,4.35,73.0,13.5,5.31,69.4,11.7,106.2,4,0
1204.3,835.2,7.88,62.6,21.9,5.64,37.8,21.6,12.0,1,0
2128.3,1379.6,4.46,54.8,23.4,7.37,88.9,6.0,108.5,2,1
1312.7,731.4,3.86,43.8,23.9,7.45,14.1,27.4,191.3,5,0
2193.5,1526.3,4.47,54.2,29.7,7.67,84.1,4.3,209.7,1,1
2379.3,1315.3,8.8,65.1,29.5,5.08,54.1,33.7,285.9,1,1
1389.7,1037.9,6.03,73.2,30.0,6.11,75.1,28.8,40.5,1,1
2281.7,1429.7,5.55,85.2,31.0,7.69,62.3,16.1,106.1,5,0
2006.4,1123.7,5.72,63.3,23.2,3.75,61.9,1.8,32.2,2,0
2211.0,1541.3,9.23,56.8,21.9,4.36,66.1,14.6,16.1,2,1
2748.4,1784.9,4.13,48.4,30.0,5.03,71.2,11.9,87.2,1,1
1677.3,1330.9,9.29,77.2,24.8,6.8,48.4,4.8,186.7,2,1
1423.1,976.3,6.53,90.7,20.1,6.83,75.7,17.3,227.1,4,0
1355.2,838.6,5.6,89.0,32.9,4.54,33.3,8.4,55.2,2,0
1392.1,1012.6,12.25,80.6,35.0,1.98,54.9,9.3,69.1,1,0
1761.4,1088.4,3.36,79.6,35.8,5.49,71.7,13.4,0.0,4,1
1970.6,1529.3,5.12,95.5,28.9,3.16,74.9,10.4,171.4,5,1
1938.3,1247.7,2.92,75.0,31.1,2.02,64.2,31.6,76.8,3,1
2213.6,1521.8,8.38,79.7,34.8,2.47,47.1,10.7,316.3,2,0
1806.5,1016.4,10.22,65.2,24.8,5.65,72.9,18.5,191.0,4,0
2526.8,1658.9,10.17,49.6,33.6,7.72,,16.2,132.9,3,0
1667.7,1264.2,9.06,59.7,29.4,5.08,90.0,17.8,85.9,5,0
3160.1,2374.5,5.51,69.9,32.6,5.42,53.3,18.4,0.5,3,1
2112.8,1280.5,5.09,70.9,28.9,7.37,24.2,22.1,13.2,5,0
1371.4,831.8,1.82,98.9,34.5,1.91,31.1,17.1,87.8,1,1
1264.6,953.9,11.09,71.2,29.1,6.04,55.9,16.8,80.1,1,0
2041.2,1597.5,7.17,87.7,20.6,4.98,57.8,15.5,50.1,5,0
1688.3,968.8,4.77,63.5,35.3,6.13,94.4,13.9,187.7,3,1
2157.0,1429.0,9.32,65.3,23.3,4.03,34.2,7.7,201.4,2,0
2036.6,1292.0,3.57,50.1,34.3,3.36,55.8,14.5,104.1,3,1
1763.6,1353.9,7.02,58.9,27.5,5.28,33.8,16.9,343.5,3,0
1376.6,785.9,5.57,77.9,33.9,8.3,45.1,18.2,0.0,2,0
1042.6,628.4,7.6,70.1,33.7,6.72,88.7,16.4,155.8,3,0
1576.7,1163.8,5.84,84.1,30.2,3.98,32.3,13.1,128.1,3,0
2228.2,1254.1,2.37,72.7,30.5,2.32,66.7,14.5,94.9,4,1
1907.0,1283.7,6.19,64.7,30.1,1.64,62.9,10.6,80.2,5,0
1177.1,777.5,8.62,100.0,17.9,7.63,54.5,17.5,149.3,1,1
1886.6,1195.3,5.93,68.6,28.6,3.09,65.4,13.2,127.4,5,0
1992.7,1292.5,7.94,87.4,22.4,4.35,31.8,16.4,110.8,3,0
1358.1,926.9,3.39,64.0,28.9,7.64,88.1,23.0,20.1,2,1
1876.9,1108.0,5.93,80.6,22.3,1.77,93.5,9.3,0.0,2,1
1829.1,1267.6,4.44,83.9,22.1,7.98,55.9,19.8,121.1,1,1
1228.5,923.1,7.87,73.1,36.0,4.49,100.0,15.3,109.8,1,0
1978.9,1464.5,6.08,34.7,33.3,2.7,47.0,31.2,130.3,1,1
2080.4,1224.3,7.73,70.3,28.0,4.51,63.0,13.3,139.1,2,1
2341.5,1375.2,8.72,88.5,28.9,3.55,83.6,20.6,97.7,3,1
2326.9,1435.8,7.73,77.9,26.8,5.88,45.8,15.1,128.8,1,1
1111.2,711.4,6.68,76.7,30.8,3.7,27.4,3.9,64.6,1,0
1331.1,868.0,3.5,44.2,24.6,1.18,22.8,10.8,302.4,2,0
2057.5,1481.3,5.99,59.2,33.0,4.56,96.2,22.0,70.0,3,1
2056.9,1160.4,4.67,76.2,26.7,2.29,44.4,11.5,112.9,1,1
2057.5,1149.5,5.14,76.2,25.9,5.41,51.3,0.0,77.6,3,1
3726.4,2414.6,5.06,88.2,28.1,2.63,32.7,14.7,75.9,4,1
2085.4,1510.5,3.55,67.8,25.0,4.02,,6.3,152.5,1,1
2367.8,1416.8,1.11,76.1,29.6,5.37,39.4,16.1,139.8,1,1
2277.0,1617.5,4.33,70.2,25.3,4.58,45.2,27.4,104.1,2,1
2125.7,1307.2,6.48,55.2,30.3,5.5,61.0,21.2,121.7,4,1
1642.4,1267.1,2.63,36.2,34.1,6.36,33.7,27.3,78.0,4,0
2179.5,1686.8,6.04,76.5,24.4,2.68,51.4,10.5,190.2,4,1
1413.6,882.5,10.75,72.6,27.3,4.87,83.0,13.9,355.5,5,0
1681.6,1021.6,8.56,60.7,30.3,0.5,63.6,6.6,62.5,2,0
1557.3,1016.7,10.11,45.7,25.8,5.49,57.6,9.5,189.4,2,0
1840.9,1123.2,6.98,79.4,30.3,4.4,59.3,7.6,154.5,1,0
2957.3,2123.6,8.92,66.0,30.8,3.03,47.2,4.5,216.9,2,1
866.4,655.4,4.19,78.4,33.4,5.63,94.9,25.9,219.7,1,1
2143.1,1539.4,4.39,98.0,25.0,7.35,38.8,0.0,170.5,1,1
993.6,751.3,0.2,37.9,23.3,4.05,59.2,26.0,146.0,5,0
1564.0,1015.4,8.97,59.5,26.5,3.11,57.3,25.0,106.6,2,1
2344.5,1381.1,9.85,66.9,23.2,5.33,75.2,19.0,73.5,2,1
1832.1,1345.7,4.62,91.8,30.8,2.33,77.1,6.1,140.3,5,0
1261.1,807.3,5.37,45.5,22.2,3.68,54.4,2.3,21.5,5,0
1442.3,1035.3,4.12,99.0,39.7,7.44,60.8,10.6,90.6,2,1
2139.8,1321.7,6.96,72.0,34.5,5.12,61.6,20.0,260.7,2,0
1434.8,818.3,8.81,68.6,28.1,1.24,9.6,15.0,159.9,1,0
1908.2,1523.0,1.64,67.0,32.3,1.41,23.2,6.7,239.3,3,0
1822.8,1073.7,7.02,63.5,19.8,5.32,42.9,24.2,297.0,1,0
1474.2,1175.1,5.31,85.7,40.6,6.72,43.8,28.5,132.3,4,1
2872.0,2281.3,6.28,54.0,25.0,1.76,31.0,13.2,170.7,4,1
2117.0,1584.4,7.15,75.2,27.4,5.9,70.0,15.9,119.8,3,1
787.4,562.9,5.53,64.2,18.7,7.66,55.0,2.9,68.7,5,0
1893.2,1314.8,5.74,58.6,30.4,8.78,50.7,11.7,54.7,4,1
1469.1,1126.1,5.47,100.0,22.5,5.66,29.9,19.1,234.3,5,0
2226.2,1385.5,8.43,76.3,28.5,6.01,54.1,17.8,170.9,5,0
1403.7,936.2,7.05,79.2,25.3,0.73,5.0,10.9,334.7,1,0
1742.6,1228.3,6.55,87.1,22.6,9.2,51.7,12.8,247.2,5,0
2052.5,1339.9,2.82,48.7,24.0,3.85,56.3,11.4,76.9,3,1
2232.9,1466.7,5.05,96.3,29.1,3.13,59.8,12.8,234.0,1,1
1199.9,759.0,8.25,32.4,21.6,4.49,23.7,18.4,119.5,3,0
1632.7,1128.3,6.09,58.5,24.3,8.02,59.5,0.0,271.7,5,0
1562.5,1191.7,7.65,63.1,31.3,9.42,34.2,14.4,101.4,4,0
1473.3,884.6,10.42,78.7,41.0,5.25,38.8,17.8,44.8,5,0
2682.7,2102.2,8.6,73.3,30.4,7.0,69.4,10.4,70.4,3,1
2002.5,1446.3,6.23,67.5,23.4,5.09,95.3,11.2,75.5,2,1
1169.6,884.0,4.72,69.8,26.2,2.92,56.0,11.4,66.0,2,0
2258.9,1556.5,0.2,55.3,28.2,7.95,38.7,11.2,92.7,4,1
2861.1,2131.2,5.58,47.5,26.3,3.76,58.8,15.0,235.7,3,1
2316.2,1283.3,5.18,80.9,32.5,8.07,,16.0,329.6,4,1
1040.3,785.0,6.98,80.4,29.1,7.6,67.4,0.0,17.0,1,1
1557.9,872.5,5.62,93.8,32.5,6.23,100.0,20.2,276.4,5,0
2433.5,1879.8,5.2,58.1,26.4,8.66,40.7,12.7,102.2,1,1
1446.2,1154.0,1.55,80.4,34.6,9.46,60.0,30.5,184.8,2,1
2021.9,1260.7,3.65,65.7,27.2,4.65,86.0,5.5,0.0,5,1
2187.3,1318.0,7.19,87.9,23.1,3.38,84.7,8.1,202.4,1,1
1336.5,990.8,10.29,85.3,38.9,1.27,16.0,13.4,0.0,2,0
1770.2,1085.6,5.76,73.2,18.9,9.49,54.9,18.3,181.4,1,1
300.0,229.9,6.82,64.9,24.3,4.12,84.7,0.0,175.7,5,0
1287.8,741.4,8.38,,24.9,7.27,100.0,8.4,169.1,1,0
1673.7,973.2,3.97,79.7,40.5,3.52,69.1,19.7,76.5,5,0
1176.1,934.8,6.92,59.7,37.0,8.08,47.6,7.4,205.0,1,0
2616.2,1879.6,4.15,50.1,35.5,3.6,34.8,26.0,189.1,4,0
1084.9,826.4,8.16,65.7,26.3,2.62,99.4,11.4,129.0,1,0
1580.0,997.1,6.38,92.7,40.1,4.58,69.6,7.8,217.2,1,1
1865.4,1341.4,6.75,87.2,29.8,3.94,38.0,19.9,140.4,4,0
2520.6,1760.8,4.04,53.3,32.9,6.19,50.9,27.9,202.9,2,1
1082.1,758.3,7.77,52.5,28.9,4.9,61.2,18.3,137.4,5,0
2381.6,1716.2,11.21,89.1,27.8,6.26,65.9,25.1,171.7,3,0
1805.1,1252.5,3.48,53.0,26.7,4.42,37.0,28.4,207.5,2,0
1309.2,860.5,5.15,77.6,27.0,3.67,42.7,7.6,110.2,5,0
2031.1,1257.2,6.58,,31.0,3.83,21.9,22.5,26.6,1,0
1899.5,1409.7,7.97,94.3,29.8,9.09,75.8,2.8,177.6,2,1
1499.9,909.8,4.6,58.4,27.8,5.45,48.2,18.4,268.9,1,0
1834.9,1326.8,0.2,,35.5,1.03,64.3,14.4,179.9,2,1
1607.3,977.8,9.4,72.8,13.2,3.96,83.4,24.9,181.8,2,0
1856.8,1311.5,7.9,73.8,30.5,5.19,59.4,24.4,145.8,3,0
2131.1,1570.1,1.64,40.4,31.6,8.69,52.7,19.6,223.9,4,1
2593.0,1567.9,4.48,37.0,33.7,7.06,58.9,17.4,131.4,2,1
1181.1,667.3,9.92,66.7,27.7,3.16,56.3,19.1,104.6,1,0
2866.5,1670.4,9.62,73.7,29.0,9.84,79.9,15.5,260.5,3,1
824.0,578.0,8.35,53.1,32.9,4.94,61.2,14.5,96.9,2,0
1724.1,1314.4,5.56,53.7,35.5,7.49,44.1,26.5,238.9,4,1
2094.2,1175.3,6.21,78.4,26.5,2.69,76.0,27.5,260.6,1,1
1940.5,1423.4,5.67,78.4,29.3,0.5,79.6,13.9,206.7,3,1
1488.7,945.8,8.82,67.9,36.4,2.18,28.2,16.9,25.1,5,0
1695.9,1135.7,3.81,81.7,17.4,0.5,85.7,15.7,152.7,4,0
1553.5,1215.2,3.99,52.4,24.5,9.22,62.3,2.1,129.8,5,0
1505.3,952.9,8.53,64.7,35.3,5.43,60.7,12.3,100.4,5,0
2224.8,1482.5,5.89,94.7,33.5,3.15,75.1,27.8,164.3,3,1
1978.5,1094.9,9.45,71.0,30.6,5.91,43.7,9.0,226.9,3,0
1453.5,829.1,4.32,71.9,25.8,5.38,74.1,31.9,104.1,3,0
2249.8,1382.8,5.86,100.0,23.6,6.24,47.5,24.4,132.9,5,0
1953.6,1088.1,3.69,49.0,25.0,7.42,25.5,18.2,125.9,1,1
2206.4,1561.8,6.02,81.9,35.7,4.42,35.0,19.5,266.4,3,0
2114.8,1388.6,2.3,95.0,24.9,3.24,66.3,7.7,124.3,4,1
1385.5,951.9,4.78,65.1,28.5,6.66,36.1,12.9,26.6,3,0
1519.9,902.3,2.41,82.9,24.2,6.6,87.2,26.5,0.0,3,1
2173.6,1356.3,7.73,55.3,32.2,5.2,78.8,10.1,186.3,3,1
2105.2,1507.2,7.79,59.7,25.3,9.36,81.7,23.5,73.9,5,0
1789.5,1416.1,1.67,75.8,27.5,4.12,57.5,4.0,216.9,1,1
1858.7,1045.7,9.33,82.0,19.6,3.2,60.2,5.4,16.9,3,1
2438.8,1884.2,12.24,86.8,19.9,5.84,31.1,30.2,96.1,5,0
1504.2,1044.3,6.12,93.5,28.0,3.65,74.9,14.9,16.9,4,1
2073.5,1432.8,4.4,69.0,21.4,5.99,62.6,10.7,193.5,1,1
1698.9,1146.9,13.06,87.9,38.5,3.33,66.3,25.9,214.9,5,0
1691.2,959.5,2.7,64.9,17.7,4.2,88.8,25.0,183.9,2,1
2349.4,1345.0,6.05,,24.0,8.78,42.9,22.4,41.4,4,1
2212.7,1549.4,6.45,73.1,28.1,4.19,52.5,10.4,75.4,4,1
2206.8,1401.8,9.36,76.7,26.2,3.4,61.5,12.7,173.4,2,1
2452.7,1911.5,6.9,76.4,22.5,7.34,36.3,17.5,0.0,5,1
1810.5,1179.8,4.75,45.9,23.2,2.9,51.2,20.6,125.9,5,0
2141.0,1254.2,3.62,53.1,23.0,3.61,64.9,10.9,301.7,4,0
1644.9,1198.6,5.15,71.5,26.6,6.15,48.5,16.4,132.0,5,1
1962.1,1223.0,3.48,44.7,37.8,6.88,81.2,17.1,1.1,2,1
1734.9,1182.1,6.12,82.5,28.4,7.44,24.8,25.3,89.3,5,0
1848.5,1339.2,4.59,83.1,33.9,3.51,77.5,21.0,86.9,4,1
2097.6,1625.8,2.26,74.9,30.5,6.19,68.2,2.9,364.0,5,0
1390.9,1040.5,9.14,53.2,33.6,4.07,43.6,13.3,316.6,1,0
2846.2,2046.7,4.76,90.7,14.0,3.79,36.5,7.6,223.1,2,1
1297.0,933.7,2.83,100.0,26.5,7.41,,19.5,115.7,2,1
1192.9,938.2,5.58,72.2,34.5,3.9,39.1,22.4,270.1,3,0
2379.1,1484.4,6.17,77.7,25.1,5.56,75.9,15.8,36.7,5,1
2195.8,1208.3,1.63,73.0,36.8,5.31,53.9,12.9,257.7,2,1
2112.1,1305.2,6.83,78.0,35.4,2.86,78.3,15.6,242.8,5,0
2114.2,1278.0,3.38,68.2,25.7,6.93,42.6,16.7,134.9,1,1
1793.9,1283.4,10.28,69.5,25.5,6.12,69.1,9.9,263.9,4,0
1351.4,957.4,7.31,83.6,22.9,1.03,40.7,5.3,105.3,4,0
